上海,01,66.57114026236125,0
上海,02,60.64501679731243,0
上海,03,135.69331983805668,0
上海,04,174.27970557308097,0
上海,05,207.32894736842104,0
上海,06,267.1111111111111,0
上海,07,313.3491902834008,0
上海,08,311.64814814814815,0
上海,09,246.18105263157895,0
上海,10,190.21265560165975,0
上海,11,163.94557097118462,0
上海,12,62.508230452674894,0
云南,01,100.31591066083352,0
云南,02,97.46185461083996,0
云南,03,171.7413872301332,0
云南,04,168.32958984375,0
云南,05,186.39931406173446,0
云南,06,206.4367844698855,0
云南,07,222.1897510273145,0
云南,08,218.65662503061475,0
云南,09,198.05509012439705,0
云南,10,174.2079450711133,0
云南,11,148.13174436877947,0
云南,12,102.07125834127741,0
内蒙古,01,-138.64323277055078,0
内蒙古,02,-132.2113219188647,0
内蒙古,03,-4.575753386784628,0
内蒙古,04,81.93004653868529,0
内蒙古,05,142.88593592874588,0
内蒙古,06,201.4986607142857,0
内蒙古,07,226.76751138952164,0
内蒙古,08,196.53899985420614,0
内蒙古,09,158.44946203970298,0
内蒙古,10,50.91673995895632,0
内蒙古,11,-39.87563613231552,0
内蒙古,12,-155.68857388316152,0
北京,01,-25.20323014804845,0
北京,02,-12.190760059612519,0
北京,03,71.16194331983806,0
北京,04,159.77576601671308,0
北京,05,209.7587601078167,0
北京,06,254.75660639777468,0
北京,07,273.71063257065947,0
北京,08,256.74590163934425,0
北京,09,220.8983286908078,0
北京,10,124.93112947658402,0
北京,11,60.84100418410042,0
北京,12,-37.59228650137741,0
台湾,01,179.58642122878317,0
台湾,02,169.87821021975114,0
台湾,03,214.19052201106567,0
台湾,04,232.05707196029778,0
台湾,05,244.49578820697954,0
台湾,06,284.0781018289669,0
台湾,07,297.888198757764,0
台湾,08,294.9879168680522,0
台湾,09,275.74399603862344,0
台湾,10,250.24461839530332,0
台湾,11,241.13039167079822,0
台湾,12,178.3802989463367,0
吉林,01,-152.37322745320478,0
吉林,02,-114.12562972292191,0
吉林,03,-0.8846371882086168,0
吉林,04,97.20154348471357,0
吉林,05,150.72881355932202,0
吉林,06,198.30461997019373,0
吉林,07,236.37471461187215,0
吉林,08,208.6868194842407,0
吉林,09,167.32105420784666,0
吉林,10,67.6303261827799,0
吉林,11,-14.489355137303301,0
吉林,12,-140.1793103448276,0
四川,01,17.574055566660004,0
四川,02,21.035259986610132,0
四川,03,108.61610337972166,0
四川,04,113.58074201158053,0
四川,05,147.33667465678798,0
四川,06,182.5272116461366,0
四川,07,208.58446601941748,0
四川,08,224.48789157964896,0
四川,09,156.7905311778291,0
四川,10,122.86972759226714,0
四川,11,83.10685387910519,0
四川,12,20.88740581270183,0
天津,01,-17.511458333333334,0
天津,02,-5.241618497109827,0
天津,03,77.14733542319749,0
天津,04,165.73434125269978,0
天津,05,220.32946145723338,0
天津,06,259.0010905125409,0
天津,07,277.92348008385744,0
天津,08,264.6613924050633,0
天津,09,234.52954048140043,0
天津,10,142.21972132904608,0
天津,11,77.61674008810573,0
天津,12,-24.67800212539851,0
宁夏,01,-41.92134831460674,0
宁夏,02,-35.26175548589342,0
宁夏,03,93.9564606741573,0
宁夏,04,134.09158050221566,0
宁夏,05,188.22237960339945,0
宁夏,06,243.57037037037037,0
宁夏,07,248.54700854700855,0
宁夏,08,235.11301859799713,0
宁夏,09,185.69461077844312,0
宁夏,10,106.46724890829694,0
宁夏,11,33.68421052631579,0
宁夏,12,-56.52750352609309,0
安徽,01,43.62284927735719,0
安徽,02,42.662839647914275,0
安徽,03,127.17740268687565,0
安徽,04,169.48620816476645,0
安徽,05,202.89293517844138,0
安徽,06,267.9304610733182,0
安徽,07,289.22497269748817,0
安徽,08,293.18467801628424,0
安徽,09,233.17471698113206,0
安徽,10,168.4764028242289,0
安徽,11,136.42164035425492,0
安徽,12,35.80137481910275,0
山东,01,-0.3465323336457357,0
山东,02,11.241145833333333,0
山东,03,83.54720074959006,0
山东,04,146.57672892478547,0
山东,05,197.40279860069964,0
山东,06,246.55322455322457,0
山东,07,259.9192069392813,0
山东,08,260.34809967279136,0
山东,09,219.39636075949366,0
山东,10,143.1098369011213,0
山东,11,102.56565656565657,0
山东,12,-4.2246214941672875,0
山西,01,-37.59324469996407,0
山西,02,-30.060303514376997,0
山西,03,71.3372802296376,0
山西,04,135.93882978723406,0
山西,05,173.64433752775722,0
山西,06,240.86859344894026,0
山西,07,234.13160813308687,0
山西,08,227.22842261904762,0
山西,09,178.8263075722092,0
山西,10,100.65565679574792,0
山西,11,47.114714227807056,0
山西,12,-53.82672155688623,0
广东,01,145.4328790459966,0
广东,02,117.22354497354497,0
广东,03,201.87786129142467,0
广东,04,220.87380393572846,0
广东,05,237.1459930313589,0
广东,06,276.6870064608758,0
广东,07,298.72618841832326,0
广东,08,291.60956384655805,0
广东,09,285.77254617892066,0
广东,10,243.84319631467045,0
广东,11,214.53503893214682,0
广东,12,128.4647764828666,0
广西,01,121.29390787518574,0
广西,02,94.03100263852242,0
广西,03,197.95072721875928,0
广西,04,213.13170272812795,0
广西,05,228.9975023415548,0
广西,06,271.48811053984576,0
广西,07,290.5119305856833,0
广西,08,286.67487212276217,0
广西,09,277.2522022838499,0
广西,10,235.0098820529168,0
广西,11,209.30574941841144,0
广西,12,118.05645161290323,0
新疆,01,-76.69396723931283,0
新疆,02,-49.47456120862031,0
新疆,03,70.12998405103669,0
新疆,04,158.36170212765958,0
新疆,05,224.11269349845202,0
新疆,06,255.45606157793458,0
新疆,07,264.4782608695652,0
新疆,08,234.01561199000832,0
新疆,09,206.00456125108602,0
